"","Rank","Song","Artist","Year"
"2853","53","Tell It to My Heart","Taylor Dayneand","1988"
"2854","54","Out of the Blue","Debbie Gibsonand","1988"
"2855","55","Don't You Want Me","Jody Watleyand","1988"
"2856","56","Desire","U2and","1988"
"2857","57","I Get Weak","Belinda Carlisleand","1988"
"2858","58","Sign Your Name","Terence Trent D'Arbyand","1988"
"2859","59","I Want to Be Your Man","Rogerand","1988"
"2860","60","Girlfriend","Pebblesand","1988"
"2861","61","Dirty Diana","Michael Jacksonand","1988"
"2862","62","1-2-3","Gloria Estefan and Miami Sound Machineand","1988"
"2863","63","Mercedes Boy","Pebblesand","1988"
"2864","64","Perfect World","Huey Lewis and the Newsand","1988"
"2865","65","New Sensation","INXSand","1988"
"2866","66","Catch Me (I'm Falling)","Pretty Poisonand","1988"
"2867","67","If It Isn't Love","New Editionand","1988"
"2868","68","Rocket 2 U","The Jetsand","1988"
"2869","69","One Good Woman","Peter Ceteraand","1988"
"2870","70","Don't Be Cruel","Cheap Trickand","1988"
"2871","71","Candle in the Wind","Elton Johnand","1988"
"2872","72","Everything Your Heart Desires","Daryl Hall and John Oatesand","1988"
"2873","73","Say You Will","Foreignerand","1988"
"2874","74","I Want Her","Keith Sweatand","1988"
"2875","75","Pink Cadillac","Natalie Coleand","1988"
"2876","76","Fast Car","Tracy Chapmanand","1988"
"2877","77","Electric Blue","Icehouseand","1988"
"2878","78","The Valley Road","Bruce Hornsby and the Rangeand","1988"
"2879","79","Don't Be Cruel","Bobby Brownand","1988"
"2880","80","Always on My Mind","Pet Shop Boysand","1988"
"2881","81","Piano in the Dark","Brenda Russell featuring Joe Espositoand","1988"
"2882","82","When It's Love","Van Halenand","1988"
"2883","83","Don't Shed a Tear","Paul Carrackand","1988"
"2884","84","We'll Be Together","Stingand","1988"
"2885","85","I Hate Myself for Loving You","Joan Jett and the Blackheartsand","1988"
"2886","86","I Don't Want to Live Without You","Foreignerand","1988"
"2887","87","Nite and Day","Al B. Sure!and","1988"
"2888","88","Don't You Know What the Night Can Do?","Steve Winwoodand","1988"
"2889","89","One Moment in Time","Whitney Houstonand","1988"
"2890","90","Can't Stay Away from You","Gloria Estefan and Miami Sound Machineand","1988"
"2891","91","Kissing a Fool","George Michaeland","1988"
"2892","92","Cherry Bomb","John Cougar Mellencampand","1988"
"2893","93","I Still Believe","Brenda K. Starrand","1988"
"2894","94","I Found Someone","Cherand","1988"
"2895","95","Never Tear Us Apart","INXSand","1988"
"2896","96","Valerie","Steve Winwoodand","1988"
"2897","97","Just Like Paradise","David Lee Rothand","1988"
"2898","98","Nothin' but a Good Time","Poisonand","1988"
"2899","99","Wait","White Lionand","1988"
"2900","100","Prove Your Love","Taylor Dayneand","1988"
"2901","1","Look Away","Chicagoand","1989"
"2902","2","My Prerogative","Bobby Brownand","1989"
"2903","3","Every Rose Has Its Thorn","Poisonand","1989"
"2904","4","Straight Up","Paula Abduland","1989"
"2905","5","Miss You Much","Janet Jacksonand","1989"
"2906","6","Cold Hearted","Paula Abduland","1989"
"2907","7","Wind Beneath My Wings","Bette Midlerand","1989"
"2908","8","Girl You Know It's True","Milli Vanilliand","1989"
"2909","9","Baby, I Love Your Way/Freebird Medley","Will to Powerand","1989"
"2910","10","Giving You the Best That I Got","Anita Bakerand","1989"
"2911","11","Right Here Waiting","Richard Marxand","1989"
"2912","12","Waiting For a Star to Fall","Boy Meets Girland","1989"
"2913","13","Lost in Your Eyes","Debbie Gibsonand","1989"
"2914","14","Don't Wanna Lose You","Gloria Estefanand","1989"
"2915","15","Heaven","Warrantand","1989"
"2916","16","Girl I'm Gonna Miss You","Milli Vanilliand","1989"
"2917","17","The Look","Roxetteand","1989"
"2918","18","She Drives Me Crazy","Fine Young Cannibalsand","1989"
"2919","19","On Our Own","Bobby Brownand","1989"
"2920","20","Two Hearts","Phil Collinsand","1989"
"2921","21","Blame It on the Rain","Milli Vanilliand","1989"
"2922","22","Listen to Your Heart","Roxetteand","1989"
"2923","23","I'll Be There for You","Bon Joviand","1989"
"2924","24","If You Don't Know Me by Now","Simply Redand","1989"
"2925","25","Like a Prayer","Madonnaand","1989"
"2926","26","I'll Be Loving You (Forever)","New Kids on the Blockand","1989"
"2927","27","How Can I Fall?","Breatheand","1989"
"2928","28","Baby Don't Forget My Number","Milli Vanilliand","1989"
"2929","29","Toy Soldiers","Martikaand","1989"
"2930","30","Forever Your Girl","Paula Abduland","1989"
"2931","31","The Living Years","Mike + The Mechanicsand","1989"
"2932","32","Eternal Flame","The Banglesand","1989"
"2933","33","Wild Thing","Tone Locand","1989"
"2934","34","When I See You Smile","Bad Englishand","1989"
"2935","35","If I Could Turn Back Time","Cherand","1989"
"2936","36","Buffalo Stance","Neneh Cherryand","1989"
"2937","37","When I'm with You","Sheriffand","1989"
"2938","38","Don't Rush Me","Taylor Dayneand","1989"
"2939","39","Born to Be My Baby","Bon Joviand","1989"
"2940","40","Good Thing","Fine Young Cannibalsand","1989"
"2941","41","The Lover in Me","Sheena Eastonand","1989"
"2942","42","Bust a Move","Young MCand","1989"
"2943","43","Once Bitten, Twice Shy","Great Whiteand","1989"
"2944","44","Batdance","Princeand","1989"
"2945","45","Rock On","Michael Damianand","1989"
"2946","46","Real Love","Jody Watleyand","1989"
"2947","47","Love Shack","The B-52'sand","1989"
"2948","48","Every Little Step","Bobby Brownand","1989"
"2949","49","Hangin' Tough","New Kids on the Blockand","1989"
"2950","50","My Heart Can't Tell You No","Rod Stewartand","1989"
"2951","51","So Alive","Love and Rocketsand","1989"
"2952","52","You Got It (The Right Stuff)","New Kids on the Blockand","1989"
"2953","53","Armageddon It","Def Leppardand","1989"
"2954","54","Satisfied","Richard Marxand","1989"
"2955","55","Express Yourself","Madonnaand","1989"
"2956","56","I Like It","Dinoand","1989"
"2957","57","Soldier of Love","Donny Osmondand","1989"
"2958","58","Sowing the Seeds of Love","Tears for Fearsand","1989"
"2959","59","Cherish","Madonnaand","1989"
"2960","60","When the Children Cry","White Lionand","1989"
"2961","61","18 and Life","Skid Rowand","1989"
"2962","62","I Don't Want Your Love","Duran Duranand","1989"
"2963","63","Second Chance",".38 Specialand","1989"
"2964","64","The Way You Love Me","Karyn Whiteand","1989"
"2965","65","Funky Cold Medina","Tone Locand","1989"
"2966","66","In Your Room","The Banglesand","1989"
"2967","67","Miss You Like Crazy","Natalie Coleand","1989"
"2968","68","Lovesong","The Cureand","1989"
"2969","69","Secret Rendezvous","Karyn Whiteand","1989"
"2970","70","Angel Eyes","The Jeff Healey Bandand","1989"
"2971","71","Patience","Guns N' Rosesand","1989"
"2972","72","Walk on Water","Eddie Moneyand","1989"
"2973","73","Cover Girl","New Kids on the Blockand","1989"
"2974","74","Welcome to the Jungle","Guns N' Rosesand","1989"
"2975","75","Shower Me With Your Love","Surfaceand","1989"
"2976","76","Stand","R.E.M.and","1989"
"2977","77","Close My Eyes Forever","Lita Ford and Ozzy Osbourneand","1989"
"2978","78","All This Time","Tiffanyand","1989"
"2979","79","After All","Cher and Peter Ceteraand","1989"
"2980","80","Roni","Bobby Brownand","1989"
"2981","81","Love in an Elevator","Aerosmithand","1989"
"2982","82","Lay Your Hands on Me","Bon Joviand","1989"
"2983","83","The Promise","When in Romeand","1989"
"2984","84","What I Am","Edie Brickell and New Bohemiansand","1989"
"2985","85","I Remember Holding You","Boys Cluband","1989"
"2986","86","Paradise City","Guns N' Rosesand","1989"
"2987","87","I Wanna Have Some Fun","Samantha Foxand","1989"
"2988","88","She Wants to Dance with Me","Rick Astleyand","1989"
"2989","89","Dreamin'","Vanessa Williamsand","1989"
"2990","90","It's No Crime","Babyfaceand","1989"
"2991","91","Poison","Alice Cooperand","1989"
"2992","92","This Time I Know It's for Real","Donna Summerand","1989"
"2993","93","Smooth Criminal","Michael Jacksonand","1989"
"2994","94","Heaven Help Me","Deon Estusand","1989"
"2995","95","Rock Wit'cha","Bobby Brownand","1989"
"2996","96","Thinking of You","Sa-Fireand","1989"
"2997","97","What You Don't Know","Expos<U+00E9>and","1989"
"2998","98","Surrender To Me","Ann Wilson and Robin Zanderand","1989"
"2999","99","The End of the Innocence","Don Henleyand","1989"
"3000","100","Keep on Movin'","Soul II Souland","1989"
"3001","1","Hold On","Wilson Phillipsand","1990"
"3002","2","It Must Have Been Love","Roxetteand","1990"
"3003","3","Nothing Compares 2 U","Sin<U+00E9>ad O'Connorand","1990"
"3004","4","Poison","Bell Biv DeVoeand","1990"
"3005","5","Vogue","Madonnaand","1990"
"3006","6","Vision of Love","Mariah Careyand","1990"
"3007","7","Another Day in Paradise","Phil Collinsand","1990"
"3008","8","Hold On","En Vogueand","1990"
"3009","9","Cradle of Love","Billy Idoland","1990"
"3010","10","Blaze of Glory","Jon Bon Joviand","1990"
"3011","11","Do Me!","Bell Biv DeVoeand","1990"
"3012","12","How Am I Supposed to Live Without You","Michael Boltonand","1990"
"3013","13","Pump Up the Jam","Technotronicand","1990"
"3014","14","Opposites Attract","Paula Abduland","1990"
"3015","15","Escapade","Janet Jacksonand","1990"
"3016","16","All I Wanna Do Is Make Love to You","Heartand","1990"
"3017","17","Close to You","Maxi Priestand","1990"
"3018","18","Black Velvet","Alannah Mylesand","1990"
"3019","19","Release Me","Wilson Phillipsand","1990"
"3020","20","Don't Know Much","Linda Ronstadt featuring Aaron Nevilleand","1990"
"3021","21","All Around the World","Lisa Stansfieldand","1990"
"3022","22","I Wanna Be Rich","Callowayand","1990"
"3023","23","Rub You the Right Way","Johnny Gilland","1990"
"3024","24","She Ain't Worth It","Glenn Medeiros featuring Bobby Brownand","1990"
"3025","25","If Wishes Came True","Sweet Sensationand","1990"
"3026","26","The Power","Snap!and","1990"
"3027","27","(Can't Live Without Your) Love and Affection","Nelsonand","1990"
"3028","28","Love Will Lead You Back","Taylor Dayneand","1990"
"3029","29","Don't Wanna Fall in Love","Jane Childand","1990"
"3030","30","Two to Make It Right","Seductionand","1990"
"3031","31","Sending All My Love","Linearand","1990"
"3032","32","Unskinny Bop","Poisonand","1990"
"3033","33","Step by Step","New Kids on the Blockand","1990"
"3034","34","Dangerous","Roxetteand","1990"
"3035","35","We Didn't Start the Fire","Billy Joeland","1990"
"3036","36","I Don't Have the Heart","James Ingramand","1990"
"3037","37","Downtown Train","Rod Stewartand","1990"
"3038","38","Rhythm Nation","Janet Jacksonand","1990"
"3039","39","I'll Be Your Everything","Tommy Pageand","1990"
"3040","40","Roam","The B-52'sand","1990"
"3041","41","Everything","Jody Watleyand","1990"
"3042","42","Back to Life (However Do You Want Me)","Soul II Soul featuring Caron Wheelerand","1990"
"3043","43","Here and Now","Luther Vandrossand","1990"
"3044","44","Alright","Janet Jacksonand","1990"
"3045","45","Ice Ice Baby","Vanilla Iceand","1990"
"3046","46","Blame It on the Rain","Milli Vanilliand","1990"
"3047","47","Have You Seen Her","MC Hammerand","1990"
"3048","48","With Every Beat of My Heart","Taylor Dayneand","1990"
"3049","49","Come Back to Me","Janet Jacksonand","1990"
"3050","50","No More Lies","Michel'leand","1990"
"3051","51","Praying for Time","George Michaeland","1990"
"3052","52","How Can We Be Lovers","Michael Boltonand","1990"
"3053","53","Do You Remember?","Phil Collinsand","1990"
"3054","54","Ready or Not","After 7and","1990"
"3055","55","U Can't Touch This","MC Hammerand","1990"
"3056","56","I Wish It Would Rain Down","Phil Collinsand","1990"
"3057","57","Just Between You and Me","Lou Grammand","1990"
"3058","58","Something Happened on the Way to Heaven","Phil Collinsand","1990"
"3059","59","Black Cat","Janet Jacksonand","1990"
"3060","60","Can't Stop","After 7and","1990"
"3061","61","Janie's Got a Gun","Aerosmithand","1990"
"3062","62","The Humpty Dance","Digital Undergroundand","1990"
"3063","63","I'll Be Your Shelter","Taylor Dayneand","1990"
"3064","64","Free Fallin'","Tom Pettyand","1990"
"3065","65","Giving You the Benefit","Pebblesand","1990"
"3066","66","Enjoy the Silence","Depeche Modeand","1990"
"3067","67","Love Song","Teslaand","1990"
"3068","68","Price of Love","Bad Englishand","1990"
"3069","69","Girls Nite Out","Tyler Collinsand","1990"
"3070","70","King of Wishful Thinking","Go Westand","1990"
"3071","71","What Kind of Man Would I Be?","Chicagoand","1990"
"3072","72","I Remember You","Skid Rowand","1990"
"3073","73","Get Up! (Before the Night Is Over)","Technotronic featuring Ya Kid Kand","1990"
"3074","74","Here We Are","Gloria Estefanand","1990"
"3075","75","Epic","Faith No Moreand","1990"
"3076","76","Love Takes Time","Mariah Careyand","1990"
"3077","77","Just Like Jesse James","Cherand","1990"
"3078","78","Love Shack","The B-52'sand","1990"
"3079","79","All or Nothing","Milli Vanilliand","1990"
"3080","80","Romeo","Dinoand","1990"
"3081","81","Everybody Everybody","Black Boxand","1990"
"3082","82","I Go to Extremes","Billy Joeland","1990"
"3083","83","Whip Appeal","Babyfaceand","1990"
"3084","84","Oh Girl","Paul Youngand","1990"
"3085","85","C'mon and Get My Love","D Mob with Cathy Dennisand","1990"
"3086","86","(It's Just) The Way That You Love Me","Paula Abduland","1990"
"3087","87","We Can't Go Wrong","The Cover Girlsand","1990"
"3088","88","When I'm Back on My Feet Again","Michael Boltonand","1990"
"3089","89","Make You Sweat","Keith Sweatand","1990"
"3090","90","This One's for the Children","New Kids on the Blockand","1990"
"3091","91","What It Takes","Aerosmithand","1990"
"3092","92","Forever","Kissand","1990"
"3093","93","Jerk Out","The Timeand","1990"
"3094","94","Just a Friend","Biz Markieand","1990"
"3095","95","Whole Wide World","A'Me Lorainand","1990"
"3096","96","Without You","M<U+00F6>tley Cr<U+00FC>eand","1990"
"3097","97","Swing the Mood","Jive Bunny and the Mastermixersand","1990"
"3098","98","Thieves in the Temple","Princeand","1990"
"3099","99","Mentirosa","Mellow Man Aceand","1990"
"3100","100","Tic-Tac-Toe","Kyperand","1990"
"3101","1","(Everything I Do) I Do It for You","Bryan Adamsand","1991"
"3102","2","I Wanna Sex You Up","Color Me Baddand","1991"
"3103","3","Gonna Make You Sweat (Everybody Dance Now)","C+C Music Factoryand","1991"
"3104","4","Rush Rush","Paula Abduland","1991"
"3105","5","One More Try","Timmy Tand","1991"
"3106","6","Unbelievable","EMFand","1991"
"3107","7","More Than Words","Extremeand","1991"
"3108","8","I Like the Way (The Kissing Game)","Hi-Fiveand","1991"
"3109","9","The First Time","Surfaceand","1991"
"3110","10","Baby Baby","Amy Grantand","1991"
"3111","11","Motownphilly","Boyz II Menand","1991"
"3112","12","Because I Love You (The Postman Song)","Stevie Band","1991"
"3113","13","Someday","Mariah Careyand","1991"
"3114","14","High Enough","Damn Yankeesand","1991"
"3115","15","From a Distance","Bette Midlerand","1991"
"3116","16","All the Man That I Need","Whitney Houstonand","1991"
"3117","17","Right Here, Right Now","Jesus Jonesand","1991"
"3118","18","I Adore Mi Amor","Color Me Baddand","1991"
"3119","19","Love Will Never Do (Without You)","Janet Jacksonand","1991"
"3120","20","Good Vibrations","Marky Mark and the Funky Bunch featuring Loleatta Hollowayand","1991"
"3121","21","Justify My Love","Madonnaand","1991"
"3122","22","Emotions","Mariah Careyand","1991"
"3123","23","Joyride","Roxetteand","1991"
"3124","24","Romantic","Karyn Whiteand","1991"
"3125","25","Hold You Tight","Tara Kempand","1991"
"3126","26","I Don't Wanna Cry","Mariah Careyand","1991"
"3127","27","You're in Love","Wilson Phillipsand","1991"
"3128","28","Every Heartbeat","Amy Grantand","1991"
"3129","29","Sensitivity","Ralph Tresvantand","1991"
"3130","30","Touch Me (All Night Long)","Cathy Dennisand","1991"
"3131","31","I've Been Thinking About You","Londonbeatand","1991"
"3132","32","Do Anything","Natural Selectionand","1991"
"3133","33","Losing My Religion","R.E.M.and","1991"
"3134","34","Coming Out of the Dark","Gloria Estefanand","1991"
"3135","35","It Ain't Over 'til It's Over","Lenny Kravitzand","1991"
"3136","36","Here We Go","C+C Music Factoryand","1991"
"3137","37","Where Does My Heart Beat Now","Celine Dionand","1991"
"3138","38","Summertime","DJ Jazzy Jeff and The Fresh Princeand","1991"
"3139","39","Wind of Change","Scorpionsand","1991"
"3140","40","P.A.S.S.I.O.N.","Rythm Syndicateand","1991"
"3141","41","The Promise of a New Day","Paula Abduland","1991"
"3142","42","I'm Your Baby Tonight","Whitney Houstonand","1991"
"3143","43","Love of a Lifetime","FireHouseand","1991"
"3144","44","Fading Like a Flower (Every Time You Leave)","Roxetteand","1991"
"3145","45","This House","Tracie Spencerand","1991"
"3146","46","Hole Hearted","Extremeand","1991"
"3147","47","Power of Love/Love Power","Luther Vandrossand","1991"
"3148","48","Impulsive","Wilson Phillipsand","1991"
"3149","49","Love Is a Wonderful Thing","Michael Boltonand","1991"
"3150","50","Rhythm of My Heart","Rod Stewartand","1991"
"3151","51","Things That Make You Go Hmmm...","C+C Music Factoryand","1991"
"3152","52","I Touch Myself","Divinylsand","1991"
"3153","53","Tom's Diner","DNA featuring Suzanne Vegaand","1991"
"3154","54","Iesha","Another Bad Creationand","1991"
"3155","55","Something to Talk About","Bonnie Raittand","1991"
"3156","56","After the Rain","Nelsonand","1991"
"3157","57","Play That Funky Music","Vanilla Iceand","1991"
"3158","58","Temptation","Corinaand","1991"
"3159","59","Can't Stop This Thing We Started","Bryan Adamsand","1991"
"3160","60","I Can't Wait Another Minute","Hi-Fiveand","1991"
"3161","61","3 a.m. Eternal","The KLFand","1991"
"3162","62","Time, Love and Tenderness","Michael Boltonand","1991"
"3163","63","Sadeness (Part I)","Enigmaand","1991"
"3164","64","Around the Way Girl","LL Cool Jand","1991"
"3165","65","I'll Be There","The Escape Cluband","1991"
"3166","66","Cream","Prince and The New Power Generationand","1991"
"3167","67","Now That We Found Love","Heavy D and the Boyzand","1991"
"3168","68","Show Me the Way","Styxand","1991"
"3169","69","Love Takes Time","Mariah Careyand","1991"
"3170","70","Cry for Help","Rick Astleyand","1991"
"3171","71","The Way You Do the Things You Do","UB40and","1991"
"3172","72","Here I Am (Come and Take Me)","","1991"
"3173","73","Signs","Teslaand","1991"
"3174","74","Too Many Walls","Cathy Dennisand","1991"
"3175","75","Crazy","Sealand","1991"
"3176","76","I'll Give All My Love to You","Keith Sweatand","1991"
"3177","77","Place in this World","Michael W. Smithand","1991"
"3178","78","Something to Believe In","Poisonand","1991"
"3179","79","Wicked Game","Chris Isaakand","1991"
"3180","80","Get Here","Oleta Adamsand","1991"
"3181","81","Round and Round","Tevin Campbelland","1991"
"3182","82","Silent Lucidity","Queensr<U+00FF>cheand","1991"
"3183","83","I'm Not in Love","Will to Powerand","1991"
"3184","84","Piece of My Heart","Tara Kempand","1991"
"3185","85","Real Real Real","Jesus Jonesand","1991"
"3186","86","Everybody Plays the Fool","Aaron Nevilleand","1991"
"3187","87","Just Another Dream","Cathy Dennisand","1991"
"3188","88","Strike It Up","Black Boxand","1991"
"3189","89","Rico Suave","Gerardoand","1991"
"3190","90","Disappear","INXSand","1991"
"3191","91","Groove Is in the Heart","Deee-Liteand","1991"
"3192","92","All This Time","Stingand","1991"
"3193","93","The One and Only","Chesney Hawkesand","1991"
"3194","94","O.P.P.","Naughty by Natureand","1991"
"3195","95","Freedom! '90","George Michaeland","1991"
"3196","96","I Saw Red","Warrantand","1991"
"3197","97","Miles Away","Wingerand","1991"
"3198","98","Do You Want Me","Salt-n-Pepaand","1991"
"3199","99","The Motown Song","Rod Stewartand","1991"
"3200","100","Shiny Happy People","R.E.M.and","1991"
"3201","1","End of the Road","Boyz II Menand","1992"
"3202","2","Baby Got Back","Sir Mix-a-Lotand","1992"
"3203","3","Jump","Kris Krossand","1992"
"3204","4","Save the Best for Last","Vanessa Williamsand","1992"
"3205","5","Baby-Baby-Baby","TLCand","1992"
"3206","6","Tears in Heaven","Eric Claptonand","1992"
"3207","7","My Lovin' (You're Never Gonna Get It)","En Vogueand","1992"
"3208","8","Under the Bridge","Red Hot Chili Peppersand","1992"
"3209","9","All 4 Love","Color Me Baddand","1992"
"3210","10","Just Another Day","Jon Secadaand","1992"
"3211","11","I Love Your Smile","Shaniceand","1992"
"3212","12","To Be with You","Mr. Bigand","1992"
"3213","13","I'm Too Sexy","Right Said Fredand","1992"
"3214","14","Black or White","Michael Jacksonand","1992"
"3215","15","Achy Breaky Heart","Billy Ray Cyrusand","1992"
"3216","16","I'll Be There","Mariah Careyand","1992"
"3217","17","November Rain","Guns N' Rosesand","1992"
"3218","18","Life Is a Highway","Tom Cochraneand","1992"
"3219","19","Remember the Time","Michael Jacksonand","1992"
"3220","20","Finally","CeCe Penistonand","1992"
"3221","21","This Used to Be My Playground","Madonnaand","1992"
"3222","22","Sometimes Love Just Ain't Enough","Patty Smyth and Don Henleyand","1992"
"3223","23","Can't Let Go","Mariah Careyand","1992"
"3224","24","Jump Around","House of Painand","1992"
"3225","25","Diamonds and Pearls","Prince and The New Power Generationand","1992"
"3226","26","Don't Let the Sun Go Down on Me","George Michael and Elton Johnand","1992"
"3227","27","Masterpiece","Atlantic Starrand","1992"
"3228","28","If You Asked Me To","Celine Dionand","1992"
"3229","29","Giving Him Something He Can Feel","En Vogueand","1992"
"3230","30","Live and Learn","Joe Publicand","1992"
"3231","31","Come and Talk to Me","Jodeciand","1992"
"3232","32","Smells Like Teen Spirit","Nirvanaand","1992"
"3233","33","Humpin' Around","Bobby Brownand","1992"
"3234","34","Damn I Wish I Was Your Lover","Sophie B. Hawkinsand","1992"
"3235","35","Tell Me What You Want Me to Do","Tevin Campbelland","1992"
"3236","36","Ain't 2 Proud 2 Beg","TLCand","1992"
"3237","37","It's So Hard to Say Goodbye to Yesterday","Boyz II Menand","1992"
"3238","38","Move This","Technotronic featuring Ya Kid Kand","1992"
"3239","39","Bohemian Rhapsody","Queenand","1992"
"3240","40","Tennessee","Arrested Developmentand","1992"
"3241","41","The Best Things in Life Are Free","Luther Vandross and Janet Jacksonand","1992"
"3242","42","Make It Happen","Mariah Careyand","1992"
"3243","43","The One","Elton Johnand","1992"
"3244","44","Set Adrift on Memory Bliss","P.M. Dawnand","1992"
"3245","45","Stay","Shakespears Sisterand","1992"
"3246","46","2 Legit 2 Quit","Hammerand","1992"
"3247","47","Please Don't Go","KWSand","1992"
"3248","48","Breakin' My Heart (Pretty Brown Eyes)","Mint Conditionand","1992"
"3249","49","Wishing on a Star","The Cover Girlsand","1992"
"3250","50","She's Playing Hard to Get","Hi-Fiveand","1992"
"3251","51","I'd Die Without You","P.M. Dawnand","1992"
"3252","52","Good for Me","Amy Grantand","1992"
"3253","53","All I Want","Toad the Wet Sprocketand","1992"
"3254","54","When a Man Loves a Woman","Michael Boltonand","1992"
"3255","55","I Can't Dance","Genesisand","1992"
"3256","56","Hazard","Richard Marxand","1992"
"3257","57","Mysterious Ways","U2and","1992"
"3258","58","Too Funky","George Michaeland","1992"
"3259","59","How Do You Talk to an Angel","The Heightsand","1992"
"3260","60","One","U2and","1992"
"3261","61","Keep on Walkin'","CeCe Penistonand","1992"
"3262","62","Hold on My Heart","Genesisand","1992"
"3263","63","The Way I Feel About You","Karyn Whiteand","1992"
"3264","64","Beauty and the Beast","Celine Dion and Peabo Brysonand","1992"
"3265","65","Warm It Up","Kris Krossand","1992"
"3266","66","In the Closet","Michael Jacksonand","1992"
"3267","67","People Everyday","Arrested Developmentand","1992"
"3268","68","No Son of Mine","Genesisand","1992"
"3269","69","Wildside","Marky Mark and the Funky Bunchand","1992"
"3270","70","Do I Have to Say the Words?","Bryan Adamsand","1992"
"3271","71","Friday I'm in Love","The Cureand","1992"
"3272","72","Everything About You","Ugly Kid Joeand","1992"
"3273","73","Blowing Kisses in the Wind","Paula Abduland","1992"
"3274","74","Thought I'd Died and Gone to Heaven","Bryan Adamsand","1992"
"3275","75","Rhythm Is a Dancer","Snap!and","1992"
"3276","76","Addams Groove","Hammerand","1992"
"3277","77","Missing You Now","Michael Boltonand","1992"
"3278","78","Back to the Hotel","N2Deepand","1992"
"3279","79","Everything Changes","Kathy Troccoliand","1992"
"3280","80","Have You Ever Needed Someone So Bad","Def Leppardand","1992"
"3281","81","Take This Heart","Richard Marxand","1992"
"3282","82","When I Look Into Your Eyes","FireHouseand","1992"
"3283","83","I Wanna Love You","Jadeand","1992"
"3284","84","Uhh Ahh","Boyz II Menand","1992"
"3285","85","Real Love","Mary J. Bligeand","1992"
"3286","86","Justified and Ancient","The KLFand","1992"
"3287","87","Slow Motion","Color Me Baddand","1992"
"3288","88","What About Your Friends","TLCand","1992"
"3289","89","Thinkin' Back","Color Me Baddand","1992"
"3290","90","Would I Lie to You?","Charles and Eddieand","1992"
"3291","91","That's What Love Is For","Amy Grantand","1992"
"3292","92","Keep Coming Back","Richard Marxand","1992"
"3293","93","Free Your Mind","En Vogueand","1992"
"3294","94","Keep It Comin'","Keith Sweatand","1992"
"3295","95","Just Take My Heart","Mr. Bigand","1992"
"3296","96","I Will Remember You","Amy Grantand","1992"
"3297","97","We Got a Love Thang","CeCe Penistonand","1992"
"3298","98","Let's Get Rocked","Def Leppardand","1992"
"3299","99","They Want EFX","Das EFXand","1992"
"3300","100","I Can't Make You Love Me","Bonnie Raittand","1992"
"3301","1","I Will Always Love You","Whitney Houstonand","1993"
"3302","2","Whoomp! (There It Is)","Tag Teamand","1993"
"3303","3","Can't Help Falling in Love","UB40and","1993"
"3304","4","That's the Way Love Goes","Janet Jacksonand","1993"
"3305","5","Freak Me","Silkand","1993"
"3306","6","Weak","SWVand","1993"
"3307","7","If I Ever Fall in Love","Shaiand","1993"
"3308","8","Dreamlover","Mariah Careyand","1993"
"3309","9","Rump Shaker","Wreckx-n-Effectand","1993"
"3310","10","Informer","Snowand","1993"
"3311","11","Nuthin' but a 'G' Thang","Dr. Dreand","1993"
"3312","12","In the Still of the Nite","Boyz II Menand","1993"
"3313","13","Don't Walk Away","Jadeand","1993"
"3314","14","Knockin' da Boots","H-Townand","1993"
"3315","15","Lately","Jodeciand","1993"
"3316","16","Dazzey Duks","Duiceand","1993"
"3317","17","Show Me Love","Robin S.and","1993"
"3318","18","A Whole New World","Peabo Bryson and Regina Belleand","1993"
"3319","19","If","Janet Jacksonand","1993"
"3320","20","I'm So Into You","SWVand","1993"
"3321","21","Love Is","Vanessa Williams and Brian McKnightand","1993"
"3322","22","Runaway Train","Soul Asylumand","1993"
"3323","23","I'll Never Get Over You (Getting Over Me)","Expos<U+00E9>and","1993"
"3324","24","Ditty","Paperboyand","1993"
"3325","25","Rhythm Is a Dancer","Snap!and","1993"
"3326","26","The River of Dreams","Billy Joeland","1993"
"3327","27","I'm Gonna Be (500 Miles)","The Proclaimersand","1993"
"3328","28","Two Princes","Spin Doctorsand","1993"
"3329","29","Right Here (Human Nature) / Downtown","SWVand","1993"
"3330","30","I Have Nothing","Whitney Houstonand","1993"
"3331","31","Mr. Wendal","Arrested Developmentand","1993"
"3332","32","Have I Told You Lately","Rod Stewartand","1993"
"3333","33","Saving Forever for You","Shaniceand","1993"
"3334","34","Ordinary World","Duran Duranand","1993"
"3335","35","If I Had No Loot","Tony! Toni! Ton<U+00E9>!and","1993"
"3336","36","I'd Do Anything for Love (But I Won't Do That)","Meat Loafand","1993"
"3337","37","Slam","Onyxand","1993"
"3338","38","Looking Through Patient Eyes","P.M. Dawnand","1993"
"3339","39","I'm Every Woman","Whitney Houstonand","1993"
"3340","40","Baby I'm Yours","Shaiand","1993"
"3341","41","Come Undone","Duran Duranand","1993"
"3342","42","I Don't Wanna Fight","Tina Turnerand","1993"
"3343","43","I'd Die Without You","P.M. Dawnand","1993"
"3344","44","Whoot, There It Is","95 Southand","1993"
"3345","45","Hip Hop Hooray","Naughty by Natureand","1993"
"3346","46","Another Sad Love Song","Toni Braxtonand","1993"
"3347","47","Will You Be There","Michael Jacksonand","1993"
"3348","48","Comforter","Shaiand","1993"
"3349","49","Good Enough","Bobby Brownand","1993"
"3350","50","What's Up?","4 Non Blondesand","1993"
"3351","51","All That She Wants","Ace of Baseand","1993"
